"id","tid_not_to_be_used","airline","tag","tweet"
987,506961832829915136,"United","lW?u8x48>Tha","@united I'm going to miss my 11pm flight to BOS from PHX, when's the next avail flight to BOS??"
998,506964732902117376,"American","lW?u8x48>Tha","@AmericanAir this is crazy!  On our way back from Cabo and the same mechanical delay!!!!  Get some new planes!"
1048,506984133139394560,"SouthWest","lW?u8x48>Tha","Officially a #rapidrewards member! @SouthwestAir .. Can't wait to fly my first time with you!"
1118,507074976156254208,"United","lW?u8x48>Tha","Flight home at 6AM today cancelled by @united at 11AM last night. @CheapTickets doing a lousy job addressing it."
1237,507212913577574400,"American","lW?u8x48>Tha","I thought this gate change from @AmericanAir would get me closer to the O'Hare @Frontera_Grill. Now it's twice the disappointment."
1269,507232670884298752,"United","lW?u8x48>Tha","Another day, another @united delay. Hope ""customer service"" is a valid hotel reason cos I could be spending the night in Denver."
1310,507270873305591808,"American","lW?u8x48>Tha","@AmericanAir @SFO777dotcom @united meet @SFO777dotcom - I think y'all will like each other ;) AA, this is a disappointment. Gross food, too."
1341,507291080849899520,"American","lW?u8x48>Tha","@AmericanAir You plan on returning our luggage from Sunday's cancelled JFK-Nashville flight anytime soon?"
1431,507361063445475328,"United","lW?u8x48>Tha","@MikeCoughlinVII @united more proof that airlines hate tall people"
1434,507367704639324160,"SouthWest","lW?u8x48>Tha","Seriously @SouthwestAir? Still no response? Servicemembers in uniform @RDUAirport board the plane last. Why? #FixIt http://t.co/mInS79U6tw"
1472,507434979588980736,"American","lW?u8x48>Tha","I'm in shocked how bad it was. Done with @AmericanAir and will switch to another airline. Working to get my EXP status matched @Delta"
1512,507532180981964800,"VirginAmerica","lW?u8x48>Tha","@VirginAmerica I'm disappointed that I'm not flying to SF w/ you I tried to book my flight last night but the site said every seat was taken"
1529,507545602025357312,"United","lW?u8x48>Tha","@united what is up with flight 3264?? Seems like your agents have no idea what is going on? Already 2 hour delayed and no reason!"
1665,507639148862115840,"American","lW?u8x48>Tha","@AmericanAir WAITING FOR 40 mins for baggage to come off the plane at DFW IS RIDICULOUS!!!!!"
1667,507639840893313024,"Delta","lW?u8x48>Tha","@DeltaAssist it's too late now I've already missed my flight "
1686,507650847166447616,"United","lW?u8x48>Tha","@united So uh who do I talk to about some security issues in United WiFi?"
1760,507693442873688064,"United","lW?u8x48>Tha","@united Flight delayed to World Championships.  Been on phone over an hour waiting to be rebooked. Hopefully @united figures it out."
1817,507750923041386496,"VirginAmerica","lW?u8x48>Tha","@VirginAmerica @LinkedIn @Gogo nice!! Can't wait!"
1882,507889225690140672,"American","lW?u8x48>Tha","@AmericanAir tks for the broken plane. Flt 2332 8.30.14 DFW to  ORD. Plane in for repairs then released, we boarded, plane still broken."
2068,508004766686117888,"United","lW?u8x48>Tha","@united if you know there is a ground stop in Chicago why would you board delayed flight 3367, taxi out only to end up in the penalty box?"
2079,508008498853335040,"American","lW?u8x48>Tha","@AmericanAir and btw web says 2635, inbound for 2641 is cancelled, airport screen says arrives 7:05.....all we want is the truth! Honesty"
2084,508010179561279488,"Delta","lW?u8x48>Tha","@DeltaAssist @davidking08 Tis why I have to travel a day early and a day late. Flight delays like this make travel day schedules impossible."
2086,508010849832034304,"United","lW?u8x48>Tha","@united Denver is bad. Understaffed so we sat at my arrival gate for 20 mins and I missed my connection. Now missing a wedding rehearsal."
2270,508086438710480896,"United","lW?u8x48>Tha","@united Delayed for hours only to find out my flight is cancelled, &amp; seats on flights for tomorrow are all likely filled. Worst service."
2277,508090211960492032,"American","lW?u8x48>Tha","@dannysullivan @united @AmericanAir they respond.  Then you dm them. Then you never hear from them again. What a customer service fail"
2348,508239055432458240,"United","lW?u8x48>Tha","Why does @united have such terrible customer service? Makes you wonder if airline loyalty really matters."
2375,508260443421700096,"United","lW?u8x48>Tha","@united At check in confirmed contact info to get alerts. After 45 min wait at baggage claim found bags were on earlier flight. No Alert."
2426,508303177293504512,"United","lW?u8x48>Tha","At O'Hare yesterday with 87yr old mother enroute to Ottawa CA funeral. Ottawa flt cancelled &amp; plan B flt to #CLE landed 3AM. @united weather"
2483,508347613276827648,"American","lW?u8x48>Tha","Hate @AmericanAir Thought I had my issue resolved only to find out a day later that your agent didn't actually make any of the changes."
2497,508361412029460480,"American","lW?u8x48>Tha","@AmericanAir, you are consistent. 45 mins late-still sitting on the Tarmac for a ""mechanical issue."" Points for being terrible every time!"
2521,508374452632293376,"American","lW?u8x48>Tha",".@AmericanAir last time with 30 HSers, this time for my BFF's shower. Please fix your planes - don't want to miss life's big moments #AA4259"
2593,508424220385480704,"United","lW?u8x48>Tha","@karaswisher @united  Hate that... What book did you pick?!?"
2663,508550301281181696,"American","lW?u8x48>Tha","Started with @pizzahut 's and @AmericanAir 's follow but now I'm here with @justinbieber , @john and @codysimpson follow so never say never"
2726,508640689597730816,"AlaskaAir","lW?u8x48>Tha","@AlaskaAir it's good to be back.  Had to fly @Delta and I missed the respect you have for customers. #G75klife"
2744,508655165113913344,"United","lW?u8x48>Tha","@united &amp; I just had a mutual evaluation on flight 1238. Got bumped from 1st to coach &amp; toilet was broken &amp; smelly. Worst flight ever-"
2785,508679759631769600,"SouthWest","lW?u8x48>Tha","@jonostrower @jcbama85 @SouthwestAir That's horrible"
2829,508708602320650240,"American","lW?u8x48>Tha","@AmericanAir please help. 1337 from LAS delayed 3hrs. Won't allow me to change to 1688(looks open). Only showing oversold stndby chng flight"
2950,508752271665270784,"Delta","lW?u8x48>Tha","@DeltaAssist help me! U guys r delayed everywhere, 2hrs late dep from IAD to ATL, need to get to SEA but unlikely to make my 9pm connec"
3095,508797995937435648,"AlaskaAir","lW?u8x48>Tha","My day. Vegas @AlaskaAir flight delay for 4hrs then on runway for hr then back to gate &amp; now delayed for another 5 hrs _ #iwanttobehome"
3168,508812653725089792,"VirginAmerica","lW?u8x48>Tha","@VirginAmerica what should be simple hasn't been. Now 1 engine won't work. Shouldn't this been seen before u boarded everyone? #frustrated"
3211,508827062636126208,"United","lW?u8x48>Tha","@TrevorMoran @united fucking thing"
3229,508833850697736192,"United","lW?u8x48>Tha","Gzz now I know why I never fly @Delta , worse change policy ever and terrible customer service. Luckily there's @united"
3287,508919614966095872,"United","lW?u8x48>Tha","@united I have, but if there is damage to cargo on united flights I thought you'd want to know."
3349,508972738254749696,"American","lW?u8x48>Tha","@markbland - @AmericanAir said they were gonna help my friends who they screwed out of $500...1 DAY later &amp; NO RESPONSE from them."
3412,508990031009021952,"United","lW?u8x48>Tha","@united It looks like the site was messing up. They all show up this morning."
3420,508993171804925952,"United","lW?u8x48>Tha","@united Indeed but strict interpretation of 'one-time pass'means I would have to stay in Club some 8-9 hours awaiting connecting UA 82flight"
3436,509001049571852288,"JetBlue","lW?u8x48>Tha","@JetBlue flight out of Hartford delayed two hours. Not sure why?"
3507,509032222691586048,"SouthWest","lW?u8x48>Tha","Do u #luv it or hate it? @SouthwestAir unveils new #branding today @Jackboulton @mattkranz http://t.co/b4LLAwPweG"
3550,509054859577159680,"United","lW?u8x48>Tha","@united Not a single flight on our concourse has left on time. Two of them with mechanical issues. Are any of your flights on time?"
3554,509056596409077760,"United","lW?u8x48>Tha","@united Terrorist attacks and ebola outbreak cause me to cancel my Africa vacation...and united charged me $400 to do so! #safetyfirst?"
3613,509087734103670784,"SouthWest","lW?u8x48>Tha","A lil delayed going back home @SouthwestAir darn weather :("
3638,509098022652112896,"SouthWest","lW?u8x48>Tha","@AirlineReporter @SouthwestAir Can SWA restore the daily long haul service from MHT to DEN, LAS and PHX?  MHT never should have lost them!"
3697,509119966508228608,"United","lW?u8x48>Tha","5 hard copy submissions of substantiation and 9 months later, still waiting on that check for my lost bag @united. #showmethemoneyjeff"
3706,509123742803705856,"American","lW?u8x48>Tha","@Deanofcomedy @AmericanAir at least they HAVE nuts! 1.5 hr United flight delayed 2 hrs, sat on tarmac for 45 mins. Not a nut to be seen."
3717,509128288845848576,"United","lW?u8x48>Tha","Just called @united was told I missed my flight. Um really It's 4 hours delayed how is that possible? Google search is better than your reps"
3755,509143254127104000,"United","lW?u8x48>Tha","Ugh, @tim_cook, it looks like we need to postpone tomorrows event. @karaswisher and I are, once again, stuck on a @united flight. #fistbump"
3813,509192762118664192,"SouthWest","lW?u8x48>Tha","@SouthwestAir changing brand and website. Too many hearts. I fear change. Do not want!"
3833,509215666046369792,"SouthWest","lW?u8x48>Tha","@k_colin @SouthwestAir I just want to know how delayed the the launch was. Surprised it wasn__t cancelled!"
3878,509323312686571520,"American","lW?u8x48>Tha","Sorry, if I book under @USAirways then those benefits need to be extended to @AmericanAir if you all switch my flight!  Merger is bad!!!"
3887,509336019507093504,"VirginAmerica","lW?u8x48>Tha","@OpTic_MBoZe @VirginAmerica oh I no mboze lost the virgin"
3888,509336738628521984,"United","lW?u8x48>Tha","@united how is possible that my seat choice was changed without my knowledge?  I am very upset about this as I only want to be where I was"
3890,509339521427963904,"American","lW?u8x48>Tha","_@dstall18: Still sitting on Tarmac in Nashville almost 2 hours_ @AmericanAir bna to chicago - what's the status??"
3892,509340553058586624,"United","lW?u8x48>Tha","Exactly! MT @CMichaelGibson: Passengers not the problem in reclining debate. Seat design is. http://t.co/SwzUFmNVyW @united @AmericanAir"
3894,509341514015993856,"United","lW?u8x48>Tha","@tim_cook I'll be on a flight with no wifi from 9:45 till 1 (thanks @united). Any chance you could delay keynote till 2?"
3900,509346251335155712,"SouthWest","lW?u8x48>Tha","@SouthwestAir my bag was delayed, and I have a job interview. I don't have shoes and a belt, so I have to buy them. Will you reimburse me?"
3910,509357529139531776,"SouthWest","lW?u8x48>Tha","Airtran still can't find my bag.  Still wondering how a bag comes up missing on a flight that never left the ground.  @SouthwestAir"
3949,509372549260902400,"American","lW?u8x48>Tha","@Lohlala @AmericanAir any time I've travelled to the US, it's been with US airways/Delta &amp; they're dreadful. Don't know who else to fly with"
4014,509416430631391232,"JetBlue","lW?u8x48>Tha","If you missed it, we found a fancy coach seat on @JetBlue, See our review: http://t.co/rwayWQCE6V Picture: http://t.co/sMSrXfMWn3"
4036,509429642852569088,"United","lW?u8x48>Tha","@elizabethjuly @united is honestly thee worst airline to fly with!! We had so many problems with them this summer."
4212,509544507134992384,"SouthWest","lW?u8x48>Tha","Wait, I missed this yesterday -- @SouthwestAir is abandoning blue/red/orange? I am crushed. Best worst color combination EVER."
4297,509692253653057536,"United","lW?u8x48>Tha","@jayrunham @united too bad for your wife."
4337,509722345997860864,"SouthWest","lW?u8x48>Tha","@IamNickGonzalez @SouthwestAir That's horrible. I hope you get it back soon."
4356,509738617015508992,"United","lW?u8x48>Tha","@CurlyFourEyes @united You are kidding me. That's fucking ridiculous"
4483,509826008997195776,"Delta","lW?u8x48>Tha","Dog on #atl runway will delay flights @deltaassist"
4613,509908265325428736,"United","lW?u8x48>Tha","@united is it possible to cancel a leg of a flight without being charged $200? That seems really high for a trip that cost $233."
4641,509943839877234688,"AlaskaAir","lW?u8x48>Tha","#pnw flight on @AlaskaAir I've taken it so many times, but it never gets old http://t.co/HdhYAV147T"
4653,509969954566066176,"American","lW?u8x48>Tha","Flying with @AmericanAir to vegas on Saturday morning eeeekk. Hate flying on my own! #nervous"
4690,510035607280553984,"American","lW?u8x48>Tha","@AmericanAir AA charged $850 to correct name on ticket day of flight booked months prior, 2 complaints no response, gold member no respect"
4695,510039308003459072,"United","lW?u8x48>Tha","@gregvaneekhout That sounds like the worst. I never fly @united anymore. Everyone has a story like that about them."
4727,510061619586826240,"SouthWest","lW?u8x48>Tha","My BRAND NEW web series 'The #SocialMediaSUCKS If Show' - Ep. # 1 is all about @SouthwestAir kicking fools off planes http://t.co/HpKZRVTC8h"
4780,510100648151756800,"American","lW?u8x48>Tha","Totally annoyed @AmericanAir for rude gate agent making me check in small bag at the gate. Totally small carryon I know fits.Flight 1537 :-/"
4812,510117509618753536,"SouthWest","lW?u8x48>Tha","@SouthwestAir A haiku for our luggage--- We're new, blue, and packed. At the airport, now we're lost. Help us get home soon. #findmybags"
4862,510148783079190528,"United","lW?u8x48>Tha","Unhappy @united I have your Chase cc so I do to have to pay for bag. Booked trip but now have a new cc #  Paid 25 bucks + told to call chase"
4870,510153060929527808,"American","lW?u8x48>Tha","Amo el wifi de @AmericanAir asi no y siento tal lejos little sis @cordova_mildret !!! I will miss u!!"
4909,510170801619099648,"JetBlue","lW?u8x48>Tha","@JetBlue Hi I am waiting for a manager from getaways vacations to contact me in regards to a complaint.. They told me it would take four"
5030,510238503074926592,"United","lW?u8x48>Tha","Slogan suggestions @United Airlines: How Can We Screw Your Plans Up Today? Alt ""We're Here to Apologize &amp; Then Tell You Our Initials Online"""
5035,510240542643343360,"AlaskaAir","lW?u8x48>Tha","@AlaskaAir switching planes and delayed help ease the loan with wine"
5041,510242934873010176,"American","lW?u8x48>Tha","@AmericanAir stuck in Miami with no hotel comp. delayed flight + early connection. Please fix this! 10 ppl waiting here to see if you will!"
5064,510255277443395584,"United","lW?u8x48>Tha","get yo shit together @united"
5095,510290797951209472,"American","lW?u8x48>Tha","@AmericanAir Husband missed his connecting flight by 10min 2nite bc of your 1hr ""no-gate"" delay.  #awful #customerservice  #americanairlines"
5107,510319702464135168,"United","lW?u8x48>Tha","My kids have just had their first experience of flying @united. I think it was a never again moment for them too. #worldsworst"
5213,510438466510131200,"American","lW?u8x48>Tha","Life's best journeys start here! With 14 daily nonstops from ORF it's never been easier to visit the Big Apple. @AmericanAir @Delta @united"
5261,510466697753792512,"SouthWest","lW?u8x48>Tha","And my disappointment for @SouthwestAir continues. Almost every week flights out of RDU are delayed for 4+ hours for no reason. Goodbye SW!"
5272,510470874034880512,"United","lW?u8x48>Tha","@richeisen @united it's been coming for years.  ridiculous not to have it in this day and age"
5378,510522591467937792,"JetBlue","lW?u8x48>Tha","@JetBlue The smells on this plane are not good.  Hoping for a quick ride and landing!"
5401,510529275469262848,"American","lW?u8x48>Tha","_@AmericanAir: @jarpad We're responding to your DM now, Jared._ don't anger dad please  wait do"
5455,510555566465634304,"AlaskaAir","lW?u8x48>Tha","@Nashgrier I already asked  @AlaskaAir @Delta @SouthwestAir if I could get tickets to meet the u and cam  and they never answered _"
5485,510566593969930240,"SouthWest","lW?u8x48>Tha","@SouthwestAir @sarahkgriffith And how will SWA compensate this frustrated traveler?"
5500,510571594855768064,"SouthWest","lW?u8x48>Tha","@SouthwestAir whatever it is the flights will be delayed"
5526,510583362613166080,"VirginAmerica","lW?u8x48>Tha","@united your ""customer service"" agents never suggested that as an option. Terrible service. @VirginAmerica @AmericanAir south better"
5610,510641773069103104,"United","lW?u8x48>Tha","@united worst airline ever! Screwed our flights up all day. Never again will I fly united."
5620,510663806465228800,"Delta","lW?u8x48>Tha","@Delta @DeltaAssist going to cost $5,000 to get home because someone at JFK airport changed my flight - rediculous never fly @Delta"
5650,510729942003245056,"American","lW?u8x48>Tha","@demonclrgrd @jarpad @AmericanAir Poor Moose. He needs his own plane. "
5666,510755512825446400,"United","lW?u8x48>Tha","@AirlineFlyer @ZachHonig I have fond memories of when @united Channel 9 was something. The fact that it never gets turned on makes me sad."
5676,510764105238847488,"United","lW?u8x48>Tha","@united Terrible. Never again! #worstairlineever"
5687,510772075968331776,"United","lW?u8x48>Tha","I like u @united, yesterday was really disappointing. 2 hrs sitting on the plane. Pilots in IAH clearly waited on purpose to run out hours."
5700,510783839992811520,"American","lW?u8x48>Tha","@PerezHilton @AmericanAir they are fucking crooks! $75.... really?!  They should be embarrassed.  Bad business!"
5709,510789170063605760,"United","lW?u8x48>Tha","@united delayed Thursday, get in at 1. Return trip cancelled yesterday. Rebooked so could get home. Delayed again.  Seems like the norm, too"
5715,510792423048372224,"AlaskaAir","lW?u8x48>Tha","@AlaskaAir very poor service in first class from IAH--&gt;SEA on Friday, Sept. 12. Shockingly poor."
5721,510795397288435712,"American","lW?u8x48>Tha","@AmericanAir I hate you"
5733,510800025513771008,"SouthWest","lW?u8x48>Tha","Supposed to have left at 7am....'maintainence' delay now and won't leave till 9:30am?? @Delta you suck!!!   This is why I fly @SouthwestAir"
5754,510811526429544448,"United","lW?u8x48>Tha","@united Scotland based friends paid fees for premier heading home still no help from agent #customerexperience fail"
5776,510827645677088768,"United","lW?u8x48>Tha","Hey @united laying off 23+ people at Logan? Do you know how bad your lines are??? Are you seeking help for this reality distortion field?"
5798,510843608405393408,"United","lW?u8x48>Tha","Hey @united if you don't even have blankets for passengers, maybe at least don't keep the plane so fucking freezing. #miserableflight"
5828,510866046132428800,"JetBlue","lW?u8x48>Tha","Flights all booked. @lil_cifer Now I get to experience @JetBlue for the first time. Sucks we couldn't get the flights for lower though."
5925,510948079340511232,"American","lW?u8x48>Tha","@AmericanAir  yes my file number is: VRYXWA missing from Heathrow London 2 plus weeks now!"
5941,510979356517474304,"American","lW?u8x48>Tha","Another massive delay on @AmericanAir . I may need to learn a new route to Finland"
5947,511003547865845760,"American","lW?u8x48>Tha","Supported @AmericanAir for  37 years -so sad to say this airline is not the same as it once was. Unfortunately i have 5 more flts this year"
6015,511156828659802112,"Delta","lW?u8x48>Tha","@deltaassist on hold for 30 minutes on sky miles 800 number! Trying to change flight.  What the heck??"
6043,511176517687447552,"SouthWest","lW?u8x48>Tha","@SouthwestAir #3671 I get the plane has mechanical issue but come on already!  First SW flight in a long time.  Back to @Delta"
6155,511253238398877696,"SouthWest","lW?u8x48>Tha","You suck @SouthwestAir  make your processes consistent at each airport. Horrible customer service and support"
6174,511262612672487424,"American","lW?u8x48>Tha","I'm so tired of these big companies with awful customer service policies.  Cc: @AmericanAir"
6214,511280347209027584,"JetBlue","lW?u8x48>Tha","@JosephJBroni the @jetblue gate has legit dogs. You are missing out."
6266,511313119625621504,"Delta","lW?u8x48>Tha","@DeltaAssist I would hope so. But this flight already sucks. I am so pissed beyond belief!"
6274,511319984816275456,"American","lW?u8x48>Tha","@denisegoolsby @ps92264 @AmericanAir Oh my word!!! What the heck??!!! Ugh! I'd be a piece of jerky!"
6314,511333492555534336,"United","lW?u8x48>Tha","2) RT @united: @TAN1AAA We understand overbooking can be frustrating. But hey it's all about the turn up, I'm with you. ^MN"
6316,511334992409288704,"American","lW?u8x48>Tha","I'll never fly @USAirways (@AmericanAir @traveloneworld) again. 2hrs late - no apology, change option, or notice #usairways #unacceptable"
6395,511480105965985792,"American","lW?u8x48>Tha","trying to cancel @AmericanAir flight to #cabosanlucas due to #HurricaneODILE, theyre saying the flight is still scheduled.  #wtf"
6603,511608466549792768,"United","lW?u8x48>Tha","Glad to be back flying @united Go Dreamliner! Plz guys try to get more flights from Brazil to east coast so I never use any other again"
6612,511614618020892672,"American","lW?u8x48>Tha","@AmericanAir ugh what a waste of time ..."
6623,511621707984306176,"Delta","lW?u8x48>Tha","@DeltaAssist Its been since Saturday, the people on the phone and in the help center are quite rude and unhelpful. Weve been very patient."
6666,511647499988111360,"SouthWest","lW?u8x48>Tha","Update: @SouthwestAir capt. diverts flt. 468 to @IFlyOAKland after taking off from @FlySJC due to mechanical issue. Lands safely (cont.)"
6672,511652163886792704,"JetBlue","lW?u8x48>Tha","Stuck on the tarmac on @JetBlue for over an hour. Apparently they never learn."
6705,511679172343635968,"JetBlue","lW?u8x48>Tha","Love flying @JetBlue but really hate my ticket getting jacked up another $100 because the only seats left are ""more legroom"". #dontneedit"
6732,511698203268636672,"SouthWest","lW?u8x48>Tha","@evanwecksell @FlyFrontier @SouthwestAir The way Frontier has cut flights out of Denver they don't have many to change or cancel."
6784,511755017611919360,"VirginAmerica","lW?u8x48>Tha","@TheBiancaDelRio @VirginAmerica @Virgin You have so many issues flying, I'd say you better start taking swimming lessons..."
6789,511761405822115840,"JetBlue","lW?u8x48>Tha","Shoutout to HANSON at @JetBlue in SF for being the fucking man. GIVE THAT MAN A RAISE"
6794,511766681061175296,"VirginAmerica","lW?u8x48>Tha","@TheBiancaDelRio @VirginAmerica @Virgin THATS AWFUL"
6805,511777809589862400,"American","lW?u8x48>Tha","@AmericanAir @BoeingAirplanes Can't wait to fly this one!"
6954,511951355250880512,"VirginAmerica","lW?u8x48>Tha","I'm so frusterated with @VirginAmerica - If it tells me one more time that my flight isn't listed I'm going to cancel my flight. #ridiculous"
6972,511961055518400512,"AlaskaAir","lW?u8x48>Tha","@EliteTravelGal @AlaskaAir @Delta They're rude for what? Enforcing the rules?"
7015,511987419525427200,"AlaskaAir","lW?u8x48>Tha","@EliteTravelGal @AlaskaAir oh how sad, sorry to hear that."
7054,512017565682393088,"United","lW?u8x48>Tha","@united fyi  issue never resolved. I reported 2 the dept. of transp. Finally u called only to say someone with more expertise will call bac"
7068,512034454773460992,"United","lW?u8x48>Tha","Waiting on @united flight.... Again. 4 flights in 2 days= 2.5 late."
7075,512042185232244736,"SouthWest","lW?u8x48>Tha","@SouthwestAir we've spent more time waiting before take off and now than on the flight in the air. what's the issue?"
7186,512251167511183360,"Delta","lW?u8x48>Tha","@DeltaAssist I know there are many of you. But follow please. It is a delayed bag. I am not at the airport. This has been delivered!"
7242,512293914926391296,"SouthWest","lW?u8x48>Tha","@SouthwestAir ... Just landed in San Antonio and wanted to say one flight crew member on 4987 = grouchy #needsnewattitude #rude"
7271,512315136665976832,"SouthWest","lW?u8x48>Tha","@SouthwestAir if your planes are going south empty- please bring relief supplies. Lots of damage, roads washed out- hard to get food etc."
7322,512364264154079232,"VirginAmerica","lW?u8x48>Tha","Overheard on a crashing  @VirginAmerica flight: ""WAIT, WHERE DID THE RAPPING BABY SAY THE FLOTATION DEVICES ARE?"""
7333,512369530904248320,"United","lW?u8x48>Tha","Hey @united we've been waiting 30 min for someone to load the bags, flight is already 2.5 hours late. #1400 # ORD"
7369,512403666071212032,"SouthWest","lW?u8x48>Tha","@SouthwestAir A list member with lost bag and need help."
7422,512487241361661952,"American","lW?u8x48>Tha","@AmericanAir total dissapoinment ur servc at LIM PERU. FLIGHT CANCELLED N NT EVEN 1 APOLOGIES N EXPLANATION. NO ORDER AND INDICATIONS."
7443,512537830493409280,"United","lW?u8x48>Tha","@united I have a flight booked to Cabo on Oct 2-6 and I can't change my flight without a $200 change fee? Seriously? That's ridiculous!"
7462,512577442498637824,"Delta","lW?u8x48>Tha","Any chance @DeltaAssist can help with rebooking after a delayed flight?"
7507,512609759791697920,"United","lW?u8x48>Tha","This defies logic. He was at the gate as the plane stood. He got to the airport on a @united flight. Now we're delayed &amp; he's still at gate!"
7516,512612028046118912,"VirginAmerica","lW?u8x48>Tha","What a mess @VirginAmerica flight 23 from JFK to SFO delayed 2 hrs. Huge mistake"
7585,512643412210642944,"VirginAmerica","lW?u8x48>Tha","@VirginAmerica You never let me down! Thanks for the ride!"
7587,512644334122835968,"United","lW?u8x48>Tha","@JamesBuescher @Kris_Buescher @united It's probably a predetermined mindset from others letting their kids run wild. Still no excuses."
7650,512675280914497536,"SouthWest","lW?u8x48>Tha","On @SouthwestAir the guy next to me lies to an 85 yr old veteran who asks to sit in the middle seat ""my his wife is sitting there."" #morals"
7678,512686702955995136,"American","lW?u8x48>Tha",".@AmericanAir a 90 min+ delay in 45 min increments after boarding 4 repairs u knew would cause a delay isn't ok. Delay b4 we board at least"
7680,512687586863624192,"SouthWest","lW?u8x48>Tha","my slogan never fails ""at @SouthwestAir we don't value our customers time!"" Another delay at PHL"
7803,512738959437201408,"American","lW?u8x48>Tha","@AmericanAir @Just_AlexiaRose ALEXIA I AM LAUGHING SO FUCKING HARD FAGAGAGGAA"
7859,512761545877512192,"American","lW?u8x48>Tha","@AmericanAir how is it you so spectacularly managed to leave your passengers stranded for going on 5 1/2hrs at DFW #AA1491 #neverflyAmerican"
7910,512784568403779584,"SouthWest","lW?u8x48>Tha","I will NEVER fly out of la_guardia sitting on the runway for an hour with no info from the captain or team shame on @SouthwestAir LGA=&gt;STL"
7913,512787055806410752,"United","lW?u8x48>Tha","Worst customer service @united!!! Way to treat your 1K members. Terrible!!"
7952,512811208148135936,"Delta","lW?u8x48>Tha","@DeltaAssist @jlcrow our plane had a faulty door and then faulty landing gear. At least @Delta is investing in their planes."
8015,512946135015903232,"United","lW?u8x48>Tha","@VTSean Can't say I'm surprised. @united is literally the worst airline in the entire world. Scratch that, worst company in the entire world"
8022,512950557380976640,"VirginAmerica","lW?u8x48>Tha","Ugh. Always end up to ppl w/their pets/plants on airplanes. Thanks a lot, @VirginAmerica   http://t.co/TuMftWoFnv"
